A,A,A,B,B,B
40,50,60,40,50,51
40,41,42,40,41,51
31,41,42,31,41,51
31,32,42,31,32,33
22,32,42,22,32,33
04,05,06,04,05,15
04,14,24,04,14,15
13,14,24,13,14,15
13,23,24,13,23,33
22,23,24,22,23,33
,,,,,
60,70,71,60,70,80
60,61,71,60,61,62
51,61,71,51,61,62
51,52,53,51,52,62
42,52,53,42,52,62
42,43,53,42,43,44
33,43,53,33,43,44
06,07,17,06,07,08
06,16,17,06,16,26
15,16,17,15,16,26
15,25,35,15,25,26
24,25,35,24,25,26
24,34,35,24,34,44
33,34,35,33,34,44
,,,,,
80,90,100,80,90,91
80,81,82,80,81,91
71,81,82,71,81,91
71,72,82,71,72,73
62,72,82,62,72,73
62,63,64,62,63,73
53,63,64,53,63,73
53,54,64,53,54,55
44,54,64,44,54,55
08,09,010,08,09,19
08,18,28,08,18,19
17,18,28,17,18,19
17,27,28,17,27,37
26,27,28,26,27,37
26,36,46,26,36,37
35,36,46,35,36,37
35,45,46,35,45,55
44,45,46,44,45,55
