5RA,,,,,,,,,,,,,,,,,,,,,,,
3:0,4:0,4:1,2:1,3:1,4:1,,,,,,,,,,,,,,,,,,
3:0,3:1,3:2,2:1,2:2,3:2,,,,,,,,,,,,,,,,,,
2:1,3:1,3:2,1:2,2:2,3:2,,,,,,,,,,,,,,,,,,
2:1,2:2,2:3,1:2,1:3,2:3,,,,,,,,,,,,,,,,,,
1:2,2:2,2:3,0:3,1:3,2:3,,,,,,,,,,,,,,,,,,
1:2,1:3,1:4,0:3,0:4,1:4,,,,,,,,,,,,,,,,,,
5RB,,,,,,,,,,,,,,,,,,,,,,,
3:0,4:0,5:0,2:1,3:1,3:2,,,,,,,,,,,,,,,,,,
3:0,3:1,4:1,2:1,2:2,2:3,,,,,,,,,,,,,,,,,,
2:1,3:1,4:1,1:2,2:2,2:3,,,,,,,,,,,,,,,,,,
2:1,2:2,3:2,1:2,1:3,1:4,,,,,,,,,,,,,,,,,,
1:2,2:2,3:2,0:3,1:3,1:4,,,,,,,,,,,,,,,,,,
1:2,1:3,2:3,0:3,0:4,0:5,,,,,,,,,,,,,,,,,,
7RA,,,,,,,,,,,,,,,,,,,,,,,
2:0,3:0,4:0,5:0,6:0,6:1,1:1,2:1,3:1,4:1,5:1,6:1,,,,,,,,,,,,
2:0,3:0,4:0,5:0,5:1,5:2,1:1,2:1,3:1,4:1,4:2,5:2,,,,,,,,,,,,
2:0,3:0,4:0,4:1,5:1,6:1,1:1,2:1,3:1,3:2,4:2,4:3,,,,,,,,,,,,
2:0,3:0,4:0,4:1,4:2,5:2,1:1,2:1,3:1,3:2,3:3,3:4,,,,,,,,,,,,
2:0,3:0,3:1,4:1,5:1,5:2,1:1,2:1,2:2,3:2,4:2,5:2,,,,,,,,,,,,
2:0,3:0,3:1,4:1,4:2,4:3,1:1,2:1,2:2,3:2,3:3,4:3,,,,,,,,,,,,
2:0,3:0,3:1,3:2,4:2,5:2,1:1,2:1,2:2,2:3,3:3,3:4,,,,,,,,,,,,
2:0,3:0,3:1,3:2,3:3,4:3,1:1,2:1,2:2,2:3,2:4,2:5,,,,,,,,,,,,
2:0,2:1,3:1,4:1,5:1,6:1,1:1,1:2,2:2,3:2,4:2,4:3,,,,,,,,,,,,
2:0,2:1,3:1,4:1,4:2,5:2,1:1,1:2,2:2,3:2,3:3,3:4,,,,,,,,,,,,
2:0,2:1,3:1,3:2,4:2,4:3,1:1,1:2,2:2,2:3,3:3,4:3,,,,,,,,,,,,
2:0,2:1,3:1,3:2,3:3,3:4,1:1,1:2,2:2,2:3,2:4,3:4,,,,,,,,,,,,
2:0,2:1,2:2,3:2,4:2,5:2,1:1,1:2,1:3,2:3,3:3,3:4,,,,,,,,,,,,
2:0,2:1,2:2,3:2,3:3,4:3,1:1,1:2,1:3,2:3,2:4,2:5,,,,,,,,,,,,
2:0,2:1,2:2,2:3,3:3,3:4,1:1,1:2,1:3,1:4,2:4,3:4,,,,,,,,,,,,
2:0,2:1,2:2,2:3,2:4,2:5,1:1,1:2,1:3,1:4,1:5,2:5,,,,,,,,,,,,
1:1,2:1,3:1,4:1,5:1,5:2,0:2,1:2,2:2,3:2,4:2,5:2,,,,,,,,,,,,
