"第3列组合","第2列组合","第1列组合"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-43|14-24-34|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-63|16-26-36|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-43|14-24-34|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-63|16-26-36|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-43|14-24-34|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-63|16-26-36|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-43|14-24-34|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-63|16-26-36|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-63|16-26-36|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-63|16-26-36|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-63|16-26-36|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
"30-31-32|03-13-23|30-40-50|03-04-05|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-61|05-15-16|41-42-52|14-24-25|41-51-61|14-15-16|32-33-43|23-33-34|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-63|16-26-36|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-54|34-44-45|43-53-63|34-35-36"
